,mz,rt,ccs,intensity
294,136.9374043,707.9865057,127.5083799,
295,136.9377263,19.10306488,127.627106,
296,136.9377024,664.0165065,127.8646254,
297,137.0614392,208.9000154,127.7360827,
298,148.0413745,159.0151269,127.0478208,
299,148.0634459,329.6483874,127.1643059,
300,149.0463217,244.1131593,123.9112641,
301,149.0461675,264.2758643,123.9112743,
302,152.9965786,267.0431842,123.775834,
303,153.03101,238.7971091,125.5407582,
304,154.9478565,19.71024034,126.3614511,
305,154.9478472,596.8379475,126.5965995,
306,154.9479027,643.6295776,126.3614482,
307,154.947962,666.4435321,126.5965923,
308,154.947892,704.2608589,126.3614489,
309,154.9477332,691.1063064,126.3614588,
310,154.9477473,622.1467031,126.3614579,
311,155.0470957,299.4391579,126.3552606,
312,157.9915698,52.1428408,125.2355012,
313,161.9869119,51.9478717,125.0027344,
314,164.0350467,61.52682222,126.0586758,
315,164.0350598,48.06324107,126.2927952,
316,164.9871637,43.16836916,125.3033841,
317,165.9975684,124.4476725,126.3008208,
318,165.9973828,150.1609303,126.6516227,
319,171.0399642,99.49322909,124.747698,
320,172.9585212,687.2009394,125.2336319,
321,172.9586654,698.5059019,125.3502719,
322,172.9589311,663.4333508,125.3502584,
323,176.8959711,570.0568065,125.1557148,
324,176.8967803,596.3764241,124.9227291,
325,182.0290185,213.022029,123.9841736,
326,182.028829,131.3869454,122.3554251,
327,191.0565437,328.11511,124.2884139,
328,194.9063949,581.4339447,124.3628424,
329,194.9055424,551.7311163,124.1314197,
330,194.9054249,639.0965532,124.1314244,
331,194.906767,398.7178867,124.3628274,
332,194.9064355,609.3451391,124.131384,
333,195.0516204,367.2184816,123.1995136,
334,197.0685875,135.2680666,124.2770979,
335,197.0689077,112.5019683,125.201978,
336,205.0359865,435.7603946,124.3223321,
337,212.0029176,27.6896747,121.6576889,
338,230.013392,31.02409523,119.6085136,
339,230.9862114,687.754375,123.1365208,
340,230.9861572,623.0045923,123.0219352,
341,230.987017,659.0471112,123.0219104,
342,230.9868823,153.6313773,122.4488945,
343,230.9871123,19.04592542,123.3656413,
344,230.9871116,708.7710992,123.2510681,
345,230.9870516,665.4886761,123.1364966,
346,230.9869279,643.1418138,123.2510734,
